State,Brand,Registered Users,TotalUsersByState,BrandUsageRatio
Sikkim,Huawei,6648,1279199,0.005197002186524536
Sikkim,Lenovo,14790,1279199,0.011561922734461175
Sikkim,Micromax,994,1279199,0.000777048762545937
Sikkim,Motorola,20902,1279199,0.01633991271100118
Sikkim,OnePlus,18737,1279199,0.014647447347910686
Sikkim,Oppo,129373,1279199,0.10113594522822485
Sikkim,Others,109165,1279199,0.0853385595204499
Sikkim,Realme,53088,1279199,0.04150097052921398
Sikkim,Samsung,406392,1279199,0.3176925560448374
Sikkim,Tecno,1729,1279199,0.0013516270728792003
Sikkim,Vivo,191736,1279199,0.1498875468164062
Sikkim,Xiaomi,272444,1279199,0.21298015398698716
Tamil Nadu,Apple,4033647,132437426,0.030457002388433616
Tamil Nadu,Huawei,4269781,132437426,0.032239987811300407
Tamil Nadu,Lenovo,3734549,132437426,0.028198592443196533
Tamil Nadu,Motorola,4737879,132437426,0.0357744720891812
Tamil Nadu,OnePlus,3553020,132437426,0.026827914943016184
Tamil Nadu,Oppo,13530610,132437426,0.10216605991723215
Tamil Nadu,Others,12493893,132437426,0.09433808385856125
Tamil Nadu,Realme,5731359,132437426,0.04327597698855911
Tamil Nadu,Samsung,24958012,132437426,0.18845135211250633
Tamil Nadu,Vivo,23875440,132437426,0.18027713706849
Tamil Nadu,Xiaomi,31519236,132437426,0.23799342037952323
Telangana,Apple,6413858,149224214,0.04298134885803453
Telangana,Huawei,3509192,149224214,0.023516237116852898
Telangana,Lenovo,2413539,149224214,0.01617390995271049
Telangana,Motorola,4578132,149224214,0.03067955177837291
Telangana,OnePlus,4779203,149224214,0.03202699395689228
Telangana,Oppo,15057689,149224214,0.10090647218956034
Telangana,Others,9612197,149224214,0.06441445890276226
Telangana,Realme,8451805,149224214,0.056638294640305495
Telangana,Samsung,30481671,149224214,0.20426759292563604
Telangana,Vivo,24972046,149224214,0.16734580354365278
Telangana,Xiaomi,38954882,149224214,0.26104933613521997
Tripura,Asus,73281,3661575,0.020013518772659306
Tripura,Gionee,63340,3661575,0.017298566873544856
Tripura,Huawei,28207,3661575,0.007703515563657715
Tripura,Lava,5937,3661575,0.001621433399561664
Tripura,Lenovo,55137,3661575,0.015058274103357161
Tripura,Micromax,31639,3661575,0.008640817134702963
Tripura,Motorola,60886,3661575,0.0166283634774653
Tripura,Oppo,488766,3661575,0.13348518055754696
Tripura,Others,388905,3661575,0.10621249052661765
Tripura,Realme,310407,3661575,0.08477417504762295
Tripura,Samsung,835150,3661575,0.22808490881656118
Tripura,Vivo,406903,3661575,0.1111278616442378
Tripura,Xiaomi,913017,3661575,0.24935089408246452
Uttar Pradesh,Apple,5050943,246200404,0.020515575595887323
Uttar Pradesh,Huawei,4396389,246200404,0.017856952826121278
Uttar Pradesh,Infinix,384335,246200404,0.0015610656755867874
Uttar Pradesh,Lava,1104476,246200404,0.004486085246228922
Uttar Pradesh,Lenovo,3351692,246200404,0.013613673842712297
Uttar Pradesh,Micromax,752735,246200404,0.0030574076555942614
Uttar Pradesh,Motorola,4983621,246200404,0.02024213169040941
Uttar Pradesh,OnePlus,876890,246200404,0.0035616919621301677
Uttar Pradesh,Oppo,29567793,246200404,0.12009644387098568
Uttar Pradesh,Others,27665751,246200404,0.11237085947267576
Uttar Pradesh,Realme,16301705,246200404,0.06621315292398952
Uttar Pradesh,Samsung,46643729,246200404,0.18945431543646046
Uttar Pradesh,Tecno,749172,246200404,0.003042935705337023
Uttar Pradesh,Vivo,40067813,246200404,0.16274470857488926
