Density,Transactions
270.0,61257
35.0,12815
460.0,227499
59.0,16759
394.0,64767
770.0,302345
146.0,57456
195.0,45836
115.0,39505
74.0,31090
183.0,138391
216.0,93218
255.0,31126
20.0,4613
211.0,190903
750.0,470127
191.0,118132
42.0,6329
280.0,52149
150.0,94260
234.0,71561
275.0,127539
190.0,59664
210.0,84286
270.0,73056
35.0,23318
460.0,335751
59.0,30707
394.0,82428
770.0,397408
146.0,68085
195.0,59769
115.0,62200
74.0,42641
183.0,184852
216.0,125671
255.0,40168
20.0,10326
211.0,263831
750.0,659871
191.0,154856
42.0,14906
280.0,70726
150.0,123129
234.0,101967
275.0,190033
190.0,92320
210.0,123188
270.0,100405
35.0,38826
460.0,471373
59.0,51960
394.0,108799
770.0,529904
146.0,91425
195.0,90957
115.0,102769
74.0,63449
183.0,270387
216.0,178873
255.0,82792
20.0,20798
211.0,371009
750.0,891868
191.0,204099
42.0,29759
280.0,109764
150.0,174043
234.0,121587
275.0,241579
190.0,115076
210.0,164104
270.0,110242
35.0,47810
460.0,760633
59.0,63018
394.0,127393
770.0,1008156
146.0,110172
195.0,119875
115.0,122627
74.0,73753
183.0,372554
216.0,195292
255.0,79597
20.0,26074
211.0,487271
750.0,1847370
191.0,247733
42.0,43905
280.0,147208
150.0,227723
234.0,126367
275.0,221143
190.0,119100
210.0,162781
270.0,109005
35.0,62405
460.0,845039
59.0,67171
394.0,129792
770.0,1547551
146.0,117254
195.0,112190
115.0,126925
74.0,71252
183.0,333692
216.0,186376
255.0,77646
20.0,28248
211.0,431031
750.0,3068366
191.0,254329
42.0,49779
280.0,132413
150.0,217707
234.0,162963
275.0,290500
190.0,149868
210.0,223444
270.0,144795
35.0,91833
460.0,998165
59.0,100063
394.0,178554
770.0,2023250
146.0,152015
195.0,143834
115.0,187349
74.0,98865
183.0,423953
216.0,245614
255.0,91597
20.0,38609
211.0,551609
750.0,3977297
191.0,347908
42.0,69659
280.0,164739
150.0,293050
234.0,211986
275.0,372076
190.0,203589
210.0,290231
270.0,183767
35.0,112547
460.0,1367178
59.0,117225
394.0,226628
770.0,2628735
146.0,194854
195.0,185476
115.0,232027
74.0,123171
183.0,579614
216.0,320354
255.0,124192
20.0,46004
211.0,727666
750.0,5644383
191.0,445558
42.0,84343
280.0,224124
150.0,398053
234.0,266297
275.0,458451
190.0,250651
210.0,343428
270.0,228647
35.0,134336
460.0,1626602
59.0,137611
394.0,327305
770.0,2720717
146.0,245808
195.0,226697
115.0,286427
74.0,163047
183.0,718120
216.0,395381
255.0,150686
20.0,53826
211.0,853049
750.0,7165357
191.0,530737
42.0,103677
280.0,271529
150.0,471783
234.0,375043
275.0,633348
190.0,364767
210.0,464740
270.0,326694
35.0,178476
460.0,1317592
59.0,185996
394.0,417014
770.0,2269659
146.0,352428
195.0,326874
115.0,386419
74.0,214666
183.0,944646
216.0,554707
255.0,233660
20.0,79049
211.0,1086995
750.0,4506567
191.0,673472
42.0,142964
280.0,359594
150.0,533916
234.0,471846
275.0,771002
190.0,441036
210.0,494723
270.0,391183
35.0,211349
460.0,1745292
59.0,229155
394.0,464301
770.0,3050549
146.0,430402
195.0,402381
115.0,458506
74.0,262629
183.0,1244497
216.0,711477
255.0,261398
20.0,88855
211.0,1433072
750.0,6042530
191.0,877383
42.0,169385
280.0,466294
150.0,707337
234.0,653978
275.0,1079166
190.0,578790
210.0,738632
270.0,520944
35.0,307460
460.0,2837963
59.0,318775
394.0,624812
770.0,4913427
146.0,599900
195.0,551734
115.0,634514
74.0,369192
183.0,1984429
216.0,1034749
255.0,363678
20.0,126331
211.0,2064164
750.0,8570997
191.0,1290120
42.0,238465
280.0,676567
150.0,1086420
234.0,645219
275.0,1102370
190.0,597667
210.0,779252
270.0,518166
35.0,291788
460.0,3400745
59.0,315403
394.0,616731
770.0,5455260
146.0,587229
195.0,571899
115.0,619999
74.0,360985
183.0,2152362
216.0,1084511
255.0,383383
20.0,109993
211.0,2237708
750.0,10625343
191.0,1390205
42.0,226511
280.0,737441
150.0,1195343
234.0,826679
275.0,1461126
190.0,750454
210.0,956445
270.0,684190
35.0,372315
460.0,3617926
59.0,405620
394.0,803714
770.0,5360198
146.0,728879
195.0,771345
115.0,765639
74.0,469272
183.0,2556656
216.0,1375779
255.0,530168
20.0,137697
211.0,2634959
750.0,10882417
191.0,1698948
42.0,300111
280.0,913088
150.0,1332917
2651.0,50218
2058.0,5593
2651.0,67705
2058.0,6279
2651.0,104637
2058.0,7087
2651.0,147005
2058.0,9502
2651.0,259564
2058.0,16037
2651.0,183953
2058.0,29130
2651.0,235860
2058.0,17203
2651.0,282085
2058.0,21474
2651.0,318808
2058.0,23966
2651.0,342171
2058.0,23866
2651.0,376291
2058.0,26588
2651.0,596994
2058.0,41821
2651.0,664208
2058.0,42608
2651.0,733176
2058.0,41014
4057.0,883737
0.0,193886
0.0,562694
4057.0,1177251
0.0,272663
0.0,767547
4057.0,2022950
0.0,481819
0.0,1321135
4057.0,3230268
0.0,987533
0.0,2675009
4057.0,10000765
0.0,1402956
0.0,4177871
4057.0,23313548
0.0,1439856
0.0,4093477
4057.0,24687138
0.0,1929681
0.0,5633818
4057.0,29048107
0.0,2149197
0.0,6387755
4057.0,17899322
0.0,2148023
0.0,6523345
4057.0,13713658
0.0,1925218
0.0,5215263
4057.0,17268250
0.0,2832449
0.0,7402382
4057.0,19719782
0.0,4208254
0.0,11414146
4057.0,31953482
0.0,4235592
0.0,12287216
4057.0,36788618
0.0,4234013
0.0,11519378
471.0,95114
326.0,65783
471.0,133429
326.0,96146
471.0,194726
326.0,144785
471.0,305380
326.0,209375
471.0,441807
326.0,297005
471.0,470250
326.0,298191
471.0,673971
326.0,418445
471.0,980231
326.0,535041
471.0,1277387
326.0,603850
471.0,883695
326.0,598397
471.0,1165122
326.0,750409
471.0,2504378
326.0,1297003
471.0,3797921
326.0,1533628
471.0,3083639
326.0,1626496
205.0,66032
711.0,166658
238.0,210073
288.0,182948
256.0,50541
660.0,237393
324.0,49292
153.0,121341
310.0,56897
541.0,104154
440.0,25888
197.0,58217
214.0,13920
602.0,159975
234.0,105705
255.0,16381
282.0,219190
953.0,983723
167.0,80486
249.0,29217
467.0,387998
561.0,168659
205.0,82377
711.0,200941
238.0,289862
288.0,253332
256.0,73201
660.0,315542
324.0,62910
153.0,157949
310.0,71257
541.0,140355
440.0,36682
197.0,77918
214.0,22076
602.0,200818
234.0,135797
255.0,23157
