State,Period,Transaction Type,Transactions
Mizoram,2018-Q1,Recharge & bill payments,10155
Mizoram,2018-Q2,Recharge & bill payments,13550
Mizoram,2018-Q3,Peer-to-peer payments,18564
Mizoram,2018-Q4,Peer-to-peer payments,26212
Mizoram,2019-Q1,Peer-to-peer payments,35126
Mizoram,2019-Q2,Peer-to-peer payments,37364
Mizoram,2019-Q3,Recharge & bill payments,49073
Mizoram,2019-Q4,Recharge & bill payments,60511
Mizoram,2020-Q1,Recharge & bill payments,85067
Mizoram,2020-Q2,Recharge & bill payments,127592
Mizoram,2020-Q3,Recharge & bill payments,132664
Mizoram,2020-Q4,Peer-to-peer payments,141038
Mizoram,2021-Q1,Peer-to-peer payments,156386
Mizoram,2021-Q2,Peer-to-peer payments,173064
Nagaland,2018-Q1,Recharge & bill payments,28198
Nagaland,2018-Q2,Recharge & bill payments,41959
Nagaland,2018-Q3,Recharge & bill payments,54885
Nagaland,2018-Q4,Recharge & bill payments,72881
Nagaland,2019-Q1,Recharge & bill payments,87596
Nagaland,2019-Q2,Recharge & bill payments,92492
Nagaland,2019-Q3,Recharge & bill payments,145812
Nagaland,2019-Q4,Recharge & bill payments,172761
Nagaland,2020-Q1,Recharge & bill payments,221741
Nagaland,2020-Q2,Recharge & bill payments,328269
Nagaland,2020-Q3,Recharge & bill payments,347494
Nagaland,2020-Q4,Peer-to-peer payments,417393
Nagaland,2021-Q1,Peer-to-peer payments,477346
Nagaland,2021-Q2,Peer-to-peer payments,526966
Odisha,2018-Q1,Recharge & bill payments,2874109
Odisha,2018-Q2,Peer-to-peer payments,3989202
Odisha,2018-Q3,Peer-to-peer payments,24472139
Odisha,2018-Q4,Peer-to-peer payments,12285028
Odisha,2019-Q1,Peer-to-peer payments,24117274
Odisha,2019-Q2,Peer-to-peer payments,16455353
Odisha,2019-Q3,Peer-to-peer payments,18490877
Odisha,2019-Q4,Peer-to-peer payments,43284477
Odisha,2020-Q1,Peer-to-peer payments,27110930
Odisha,2020-Q2,Peer-to-peer payments,24520938
Odisha,2020-Q3,Peer-to-peer payments,34182172
Odisha,2020-Q4,Peer-to-peer payments,47588728
Odisha,2021-Q1,Peer-to-peer payments,54417515
Odisha,2021-Q2,Peer-to-peer payments,66929109
Puducherry,2018-Q1,Recharge & bill payments,53125
Puducherry,2018-Q2,Recharge & bill payments,59867
Puducherry,2018-Q3,Peer-to-peer payments,101817
Puducherry,2018-Q4,Peer-to-peer payments,173170
Puducherry,2019-Q1,Peer-to-peer payments,313822
Puducherry,2019-Q2,Peer-to-peer payments,331248
Puducherry,2019-Q3,Peer-to-peer payments,394866
Puducherry,2019-Q4,Peer-to-peer payments,559670
Puducherry,2020-Q1,Peer-to-peer payments,600290
Puducherry,2020-Q2,Peer-to-peer payments,468789
Puducherry,2020-Q3,Peer-to-peer payments,855511
Puducherry,2020-Q4,Peer-to-peer payments,1211359
Puducherry,2021-Q1,Peer-to-peer payments,1406958
Puducherry,2021-Q2,Peer-to-peer payments,1581221
Punjab,2018-Q1,Recharge & bill payments,946338
Punjab,2018-Q2,Recharge & bill payments,1262450
Punjab,2018-Q3,Peer-to-peer payments,1684209
Punjab,2018-Q4,Peer-to-peer payments,2269375
Punjab,2019-Q1,Peer-to-peer payments,4026294
Punjab,2019-Q2,Peer-to-peer payments,4140474
Punjab,2019-Q3,Peer-to-peer payments,4726946
Punjab,2019-Q4,Peer-to-peer payments,6386367
Punjab,2020-Q1,Peer-to-peer payments,6339183
Punjab,2020-Q2,Recharge & bill payments,6064807
Punjab,2020-Q3,Peer-to-peer payments,7354451
Punjab,2020-Q4,Peer-to-peer payments,9609405
Punjab,2021-Q1,Peer-to-peer payments,10951083
Punjab,2021-Q2,Peer-to-peer payments,13180933
Rajasthan,2018-Q1,Recharge & bill payments,4305940
Rajasthan,2018-Q2,Recharge & bill payments,5288093
Rajasthan,2018-Q3,Peer-to-peer payments,7120792
Rajasthan,2018-Q4,Peer-to-peer payments,10752729
Rajasthan,2019-Q1,Peer-to-peer payments,27621606
Rajasthan,2019-Q2,Peer-to-peer payments,25257679
Rajasthan,2019-Q3,Peer-to-peer payments,29885618
Rajasthan,2019-Q4,Peer-to-peer payments,43354317
Rajasthan,2020-Q1,Peer-to-peer payments,48269912
Rajasthan,2020-Q2,Peer-to-peer payments,49160792
Rajasthan,2020-Q3,Peer-to-peer payments,73247856
Rajasthan,2020-Q4,Peer-to-peer payments,88730951
Rajasthan,2021-Q1,Peer-to-peer payments,116733195
Rajasthan,2021-Q2,Peer-to-peer payments,139277445
Sikkim,2018-Q1,Recharge & bill payments,26965
Sikkim,2018-Q2,Recharge & bill payments,45435
Sikkim,2018-Q3,Recharge & bill payments,58421
Sikkim,2018-Q4,Recharge & bill payments,79232
Sikkim,2019-Q1,Peer-to-peer payments,121984
Sikkim,2019-Q2,Peer-to-peer payments,172125
Sikkim,2019-Q3,Peer-to-peer payments,203052
Sikkim,2019-Q4,Peer-to-peer payments,508471
Sikkim,2020-Q1,Peer-to-peer payments,230413
Sikkim,2020-Q2,Recharge & bill payments,297620
Sikkim,2020-Q3,Recharge & bill payments,298885
Sikkim,2020-Q4,Peer-to-peer payments,334069
Sikkim,2021-Q1,Peer-to-peer payments,403703
Sikkim,2021-Q2,Peer-to-peer payments,473141
Tamil Nadu,2018-Q1,Recharge & bill payments,3308548
Tamil Nadu,2018-Q2,Recharge & bill payments,4464677
Tamil Nadu,2018-Q3,Peer-to-peer payments,8810836
Tamil Nadu,2018-Q4,Peer-to-peer payments,11538547
Tamil Nadu,2019-Q1,Peer-to-peer payments,18645926
Tamil Nadu,2019-Q2,Peer-to-peer payments,16952961
Tamil Nadu,2019-Q3,Peer-to-peer payments,21277636
Tamil Nadu,2019-Q4,Peer-to-peer payments,28814008
Tamil Nadu,2020-Q1,Peer-to-peer payments,30880360
Tamil Nadu,2020-Q2,Peer-to-peer payments,21700844
Tamil Nadu,2020-Q3,Peer-to-peer payments,31754077
Tamil Nadu,2020-Q4,Peer-to-peer payments,47800741
Tamil Nadu,2021-Q1,Peer-to-peer payments,57446279
Tamil Nadu,2021-Q2,Peer-to-peer payments,60812902
Telangana,2018-Q1,Recharge & bill payments,4209319
Telangana,2018-Q2,Peer-to-peer payments,4784079
Telangana,2018-Q3,Peer-to-peer payments,11560952
Telangana,2018-Q4,Peer-to-peer payments,15571288
Telangana,2019-Q1,Peer-to-peer payments,40488967
Telangana,2019-Q2,Peer-to-peer payments,46741594
Telangana,2019-Q3,Peer-to-peer payments,59981113
Telangana,2019-Q4,Peer-to-peer payments,82587060
Telangana,2020-Q1,Peer-to-peer payments,95668911
Telangana,2020-Q2,Peer-to-peer payments,76683293
Telangana,2020-Q3,Peer-to-peer payments,116668399
Telangana,2020-Q4,Peer-to-peer payments,160607487
Telangana,2021-Q1,Merchant payments,185230619
Telangana,2021-Q2,Peer-to-peer payments,230861833
Tripura,2018-Q1,Recharge & bill payments,86819
Tripura,2018-Q2,Recharge & bill payments,118171
Tripura,2018-Q3,Peer-to-peer payments,186065
Tripura,2018-Q4,Recharge & bill payments,204720
Tripura,2019-Q1,Peer-to-peer payments,296993
Tripura,2019-Q2,Peer-to-peer payments,240776
Tripura,2019-Q3,Recharge & bill payments,339539
Tripura,2019-Q4,Recharge & bill payments,373779
Tripura,2020-Q1,Recharge & bill payments,449584
Tripura,2020-Q2,Recharge & bill payments,600206
Tripura,2020-Q3,Recharge & bill payments,627363
Tripura,2020-Q4,Peer-to-peer payments,650386
Tripura,2021-Q1,Peer-to-peer payments,643366
Tripura,2021-Q2,Peer-to-peer payments,703728
Uttar Pradesh,2018-Q1,Recharge & bill payments,7003704
Uttar Pradesh,2018-Q2,Recharge & bill payments,9232131
